Fecha,BRL,CLP,COP,KRW,ZAR,INR,MXN,PEN,PLN,CZK,RUB,THB,TRY,HUF,ILS,DXY,ARS,CNY,IDR,MYR
25/05/23,5.0415,808.51,4505.4,1326.2,19.8025,82.7425,17.8547,3.6835,4.1993,22.0107,80.0378,34.605,19.9364,347.4,3.7301,104.251,235.737,7.0804,14953.0,4.6265
26/05/23,4.9947,798.99,4441.3,1324.6,19.6529,82.5713,17.626,3.6755,4.224,22.0682,79.3744,34.677,19.9722,346.07,3.7283,104.206,235.737,7.0645,14955.0,4.6003
27/05/23,4.9947,798.99,4441.3,1324.6,19.6529,82.5713,17.626,3.6755,4.224,22.0682,79.3744,34.677,19.9722,346.07,3.7283,104.206,235.737,7.0645,14955.0,4.6003
28/05/23,4.9947,798.99,4441.3,1324.6,19.6592,82.5713,17.6349,3.6755,4.2163,22.112,79.3744,34.677,19.9722,346.21,3.7283,104.206,235.737,7.0645,14955.0,4.6003
29/05/23,5.0177,805.79,4440.3,1324.6,19.6674,82.6313,17.5895,3.6745,4.2192,22.116,80.5001,34.77,20.1117,346.89,3.7297,104.206,238.247,7.0711,14972.0,4.6045
30/05/23,5.0376,804.84,4387.9,1325.0,19.6984,82.7188,17.6578,3.6672,4.2262,22.0648,80.8966,34.787,20.461,344.89,3.7152,104.165,238.8136,7.0799,14985.0,4.6025
31/05/23,5.0556,809.53,4448.9,1326.35,19.7255,82.7275,17.6874,3.666,4.2346,22.1857,81.2679,34.8,20.762,346.61,3.732,104.326,239.4676,7.1086,14994.0,4.613
01/06/23,5.0138,803.35,4382.8,1321.6,19.6274,82.4138,17.5515,3.6797,4.1992,22.0088,81.0001,34.8,20.8087,344.32,3.7451,103.56,240.175,7.0975,14994.0,4.6137
02/06/23,4.9586,799.25,4340.4,1305.35,19.529,82.3013,17.5559,3.686,4.1921,22.0438,81.0476,34.54,20.9295,345.52,3.7451,104.015,240.84,7.0986,14994.0,4.5765
03/06/23,4.9586,799.25,4340.4,1305.35,19.529,82.3013,17.5559,3.686,4.1921,22.0438,81.0476,34.54,20.9295,345.52,3.7451,104.015,240.84,7.0986,14994.0,4.5765
04/06/23,4.9586,799.25,4340.4,1305.35,19.5176,82.3013,17.5384,3.686,4.193,22.1059,81.0476,34.54,20.9295,345.65,3.7451,104.015,240.84,7.0986,14994.0,4.5765
05/06/23,4.9331,799.53,4280.7,1308.25,19.2766,82.6788,17.469,3.681,4.1782,21.979,80.8684,34.54,21.261,344.73,3.7419,104.002,242.5072,7.1023,14891.0,4.5765
06/06/23,4.9115,796.22,4221.0,1308.25,19.2025,82.6075,17.3859,3.674,4.1845,22.0315,81.5806,34.792,21.6175,344.65,3.6827,104.125,243.1894,7.1176,14860.0,4.6085
07/06/23,4.9263,791.6,4213.4,1303.85,19.0918,82.5475,17.3645,3.6703,4.1933,22.0944,81.8494,34.73,23.2484,344.68,3.6549,104.099,243.58,7.135,14878.0,4.5975
08/06/23,4.9263,787.17,4168.0,1303.95,18.8357,82.5712,17.3806,3.6496,4.148,21.9473,82.5866,34.815,23.1245,342.43,3.6442,103.343,244.425,7.1118,14895.0,4.621
09/06/23,4.8811,788.59,4183.1,1291.65,18.7564,82.465,17.2818,3.642,4.1307,22.0499,82.6943,34.618,23.4175,342.62,3.5824,103.557,244.975,7.1305,14840.0,4.6143
10/06/23,4.8811,788.59,4183.1,1291.65,18.7564,82.465,17.2818,3.642,4.1307,22.0499,82.6943,34.618,23.4175,342.62,3.5824,103.557,244.975,7.1305,14840.0,4.6143
11/06/23,4.8811,788.59,4183.1,1291.65,18.7452,82.465,17.3017,3.642,4.1344,22.0499,82.6943,34.618,23.4175,342.19,3.5824,103.557,244.975,7.1305,14840.0,4.6143
12/06/23,4.8654,807.63,4185.2,1288.2,18.5702,82.4325,17.2824,3.6298,4.1335,22.1109,83.7766,34.6,23.635,342.95,3.5969,103.654,246.7,7.1465,14863.0,4.6198
13/06/23,4.8634,803.58,4177.1,1271.5,18.6285,82.3775,17.2231,3.646,4.1543,22.0846,84.1029,34.545,23.6405,342.8,3.5649,103.338,247.15,7.1653,14863.0,4.615
14/06/23,4.811,801.25,4179.8,1278.5,18.3461,82.1062,17.109,3.6382,4.1091,21.9575,83.9899,34.67,23.5674,342.92,3.5826,102.948,247.9278,7.1623,14907.0,4.6217
15/06/23,4.8137,793.85,4148.5,1280.45,18.2223,82.1813,17.122,3.633,4.0627,21.7289,83.5313,34.807,23.6699,341.11,3.561,102.115,248.4748,7.1223,14954.0,4.626
16/06/23,4.8232,794.5,4155.8,1272.35,18.1867,81.9375,17.0886,3.612,4.0823,21.761,83.9125,34.67,23.6322,341.75,3.5568,102.243,249.359,7.1269,14940.0,4.615
17/06/23,4.8232,794.5,4155.8,1272.35,18.1867,81.9375,17.0886,3.612,4.0823,21.761,83.9125,34.67,23.6322,341.75,3.5568,102.243,249.359,7.1269,14940.0,4.615
18/06/23,4.8232,794.5,4155.8,1272.35,18.2239,81.9375,17.065,3.612,4.0836,21.7429,83.9125,34.67,23.6322,341.58,3.5568,102.243,249.359,7.1269,14940.0,4.615
19/06/23,4.7776,795.35,4163.9,1281.9,18.1949,81.9425,17.0817,3.6352,4.0718,21.7454,83.9776,34.795,23.6075,341.96,3.6179,102.522,249.359,7.1634,14995.0,4.6307
20/06/23,4.7881,803.85,4154.7,1280.35,18.378,82.1175,17.2144,3.627,4.07,21.7587,84.6992,34.74,23.5751,340.72,3.6171,102.54,249.359,7.1809,15005.0,4.6405
21/06/23,4.7638,803.97,4139.7,1291.9,18.3159,82.035,17.12,3.6302,4.0363,21.6038,84.1943,34.85,23.5754,336.68,3.6199,102.071,251.8675,7.1795,14952.0,4.645
22/06/23,4.7697,804.45,4095.9,1294.85,18.5223,81.9512,17.1791,3.6353,4.0366,21.594,83.1778,35.042,24.9075,337.09,3.623,102.386,252.5695,7.1795,14941.0,4.6547
23/06/23,4.7849,806.6,4190.76,1304.25,18.7542,82.0338,17.1746,3.6242,4.0749,21.7315,84.4532,35.22,25.2361,339.9,3.6243,102.903,253.025,7.1795,14999.0,4.6783
24/06/23,4.7849,806.6,4190.76,1304.25,18.7542,82.0338,17.1746,3.6242,4.0749,21.7315,84.4532,35.22,25.2361,339.9,3.6243,102.903,253.025,7.1795,14999.0,4.6783
25/06/23,4.7849,806.6,4190.76,1304.25,18.7475,82.0338,17.1743,3.6242,4.0695,21.7085,84.4532,35.22,25.2361,339.64,3.6243,102.903,253.025,7.1795,14999.0,4.6783
26/06/23,4.7688,806.26,4174.9,1306.0,18.6507,82.0425,17.1376,3.643,4.0706,21.6707,84.4852,35.198,25.9386,338.51,3.6289,102.692,254.391,7.2401,15022.0,4.675
27/06/23,4.8125,797.77,4178.1,1300.4,18.5196,82.0325,17.0835,3.632,4.0581,21.5476,85.3238,35.275,26.0177,337.89,3.6596,102.492,255.2265,7.2242,14993.0,4.6663
28/06/23,4.8499,800.45,4151.6,1307.5,18.6559,82.0575,17.0925,3.632,4.1027,21.6973,86.2384,35.613,26.05,340.16,3.6727,102.905,255.8618,7.2393,14993.0,4.6722
29/06/23,4.8564,803.45,4191.1,1317.5,18.7648,82.0575,17.126,3.6325,4.0942,21.8352,87.2867,35.623,26.041,341.76,3.6987,103.342,256.2319,7.2475,14993.0,4.6722
30/06/23,4.7854,802.25,4195.9,1317.75,18.8485,82.04,17.1248,3.626,4.064,21.7789,89.3148,35.455,26.0145,341.63,3.707,102.912,256.7315,7.2537,15066.0,4.6665
01/07/23,4.7854,802.25,4195.9,1317.75,18.8485,82.04,17.1248,3.626,4.064,21.7789,89.3148,35.455,26.0145,341.63,3.707,102.912,256.7315,7.2537,15066.0,4.6665
02/07/23,4.7854,802.25,4195.9,1317.75,18.8099,82.04,17.1248,3.626,4.0662,21.7709,89.3148,35.455,26.0145,341.35,3.707,102.912,256.7315,7.2537,15066.0,4.6665
03/07/23,4.8104,798.15,4173.18,1308.05,18.7414,81.9563,17.0642,3.6205,4.0659,21.7687,89.2767,35.228,25.9493,342.86,3.6968,102.988,257.9291,7.2468,15030.0,4.6665
04/07/23,4.8405,798.61,4142.19,1301.3,18.6471,82.0237,17.0551,3.6182,4.077,21.7949,89.7097,34.882,25.9997,344.65,3.7087,103.039,259.2005,7.2163,14995.0,4.6502
05/07/23,4.8498,796.93,4137.5,1298.55,18.7749,82.2238,17.0067,3.6264,4.1108,21.8911,90.4905,34.885,26.0867,351.53,3.6986,103.373,259.5706,7.2505,15018.0,4.652
06/07/23,4.9179,803.03,4236.6,1300.8,19.1089,82.5075,17.2426,3.6354,4.1185,21.9547,91.0842,35.05,26.0978,354.48,3.7202,103.166,260.3868,7.2488,15056.0,4.6605
07/07/23,4.8719,808.38,4160.4,1305.2,18.867,82.7425,17.1469,3.6349,4.0604,21.7495,91.3727,35.198,26.0656,350.82,3.6943,102.272,260.9765,7.2254,15143.0,4.6665
08/07/23,4.8719,808.38,4160.4,1305.2,18.867,82.7425,17.1469,3.6349,4.0604,21.7495,91.3727,35.198,26.0656,350.82,3.6943,102.272,260.9765,7.2254,15143.0,4.6665
09/07/23,4.8719,808.38,4160.4,1305.2,18.8566,82.7425,17.12,3.6349,4.0685,21.779,91.3727,35.198,26.0656,349.01,3.6943,102.272,260.9765,7.2254,15143.0,4.6665
10/07/23,4.8991,813.38,4159.5,1306.35,18.7948,82.5762,17.0528,3.6375,4.0392,21.6588,90.9425,35.15,26.0793,345.68,3.6987,101.972,262.5429,7.226,15205.0,4.6705
11/07/23,4.8538,815.73,4170.1,1293.7,18.4902,82.3675,17.0437,3.6229,4.0325,21.7164,90.3247,34.815,26.1133,343.79,3.6881,101.732,263.2579,7.2098,15153.0,4.659
12/07/23,4.8205,811.63,4138.83,1288.8,18.135,82.2487,16.9013,3.583,3.9904,21.3718,90.4576,34.915,26.1405,337.11,3.6351,100.521,264.0152,7.1655,15075.0,4.6518
13/07/23,4.8018,810.79,4103.6,1274.7,17.9282,82.07,16.8403,3.574,3.9584,21.1748,90.181,34.565,26.0533,332.98,3.6125,99.77,264.3799,7.1493,14966.0,4.5822
14/07/23,4.7888,814.7,4056.25,1266.1,18.1077,82.17,16.7529,3.5611,3.9661,21.1686,90.3317,34.625,26.1701,333.23,3.6045,99.914,265.0477,7.142,14959.0,4.5267
15/07/23,4.7888,814.7,4056.25,1266.1,18.1077,82.17,16.7529,3.5611,3.9661,21.1686,90.3317,34.625,26.1701,333.23,3.6045,99.914,265.0477,7.142,14959.0,4.5267
16/07/23,4.7888,814.7,4056.25,1266.1,18.1067,82.17,16.7529,3.5611,3.9655,21.151,90.3317,34.625,26.1701,333.05,3.6045,99.914,265.0477,7.142,14959.0,4.5267
17/07/23,4.8092,817.63,4024.1,1266.7,18.0356,82.0537,16.727,3.559,3.9539,21.161,90.5095,34.62,26.3405,332.65,3.6276,99.842,266.7574,7.1736,15013.0,4.5373
18/07/23,4.8134,814.65,4002.8,1260.5,17.8571,82.0313,16.7509,3.5725,3.9628,21.2408,90.6376,34.217,26.9277,332.72,3.6015,99.941,267.623,7.1864,14997.0,4.5398
19/07/23,4.7921,807.44,3974.7,1265.75,17.8682,82.095,16.7164,3.5749,3.9752,21.3458,91.0372,34.042,26.8056,337.4,3.5863,100.281,268.155,7.2232,14997.0,4.5398
20/07/23,4.7976,815.45,3998.0,1269.65,17.9244,81.9938,16.8847,3.5795,4.0011,21.5403,90.4404,33.995,26.7648,342.81,3.6119,100.88,268.64,7.1796,14986.0,4.5433
21/07/23,4.7824,822.8,3962.8,1283.4,17.96,81.9587,16.9884,3.5857,4.0101,21.6045,90.6677,34.45,26.9806,340.98,3.632,101.071,269.4467,7.188,15027.0,4.5627
22/07/23,4.7824,822.8,3962.8,1283.4,17.96,81.9587,16.9884,3.5857,4.0101,21.6045,90.6677,34.45,26.9806,340.98,3.632,101.071,269.4467,7.188,15027.0,4.5627
23/07/23,4.7824,822.8,3962.8,1283.4,17.9593,81.9587,16.9884,3.5857,4.0092,21.6058,90.6677,34.45,26.9806,341.3,3.632,101.071,269.4467,7.188,15027.0,4.5627
24/07/23,4.7299,828.75,3952.5,1279.85,17.7447,81.8288,16.8338,3.5897,4.0224,21.809,90.6333,34.46,26.9614,341.52,3.6585,101.346,271.075,7.1874,15027.0,4.5665
25/07/23,4.7537,828.68,3969.1,1275.35,17.5485,81.8725,16.933,3.6035,4.0094,21.7784,90.3688,34.507,26.922,343.53,3.6981,101.349,271.6227,7.1364,14998.0,4.5633
26/07/23,4.7382,823.38,3938.8,1274.45,17.6146,81.995,16.8415,3.5975,3.9903,21.6802,89.9333,34.257,26.9416,344.27,3.6841,100.887,272.4632,7.1431,15023.0,4.5487
27/07/23,4.7436,829.78,3941.93,1277.65,17.8413,81.94,16.8734,3.599,4.0288,21.9039,90.6899,34.083,26.9528,348.2,3.7246,101.773,272.9958,7.1675,15000.0,4.5238
28/07/23,4.7322,829.25,3915.33,1277.05,17.6312,82.2562,16.687,3.5973,4.0055,21.7629,91.8665,34.083,26.9181,348.87,3.6917,101.622,273.6331,7.1485,15105.0,4.555
